topic;question;correct;wrong1;wrong2;wrong3;wrong4;wrong5;wrong6;wrong7
студии;Какая студия сняла «Клинок, рассекающий демонов»;Ufotable;MAPPA;Bones;Madhouse;Wit Studio;Pierrot;Toei Animation;A-1 Pictures
студии;Какая студия делала первые три сезона «Атаки титанов»;Wit Studio;MAPPA;Ufotable;Bones;Madhouse;Pierrot;Toei Animation;Kyoto Animation
студии;Какая студия сняла финальный сезон «Атаки титанов»;MAPPA;Wit Studio;Ufotable;Bones;Madhouse;Pierrot;A-1 Pictures;Toei Animation
студии;Какая студия сделала «Евангелион»;Gainax;Ghibli;Bones;MAPPA;Ufotable;Madhouse;Sunrise;Toei Animation
студии;Какую студию основали Миядзаки и Такахата;Ghibli;Gainax;Bones;Madhouse;Sunrise;Toei Animation;Kyoto Animation;Pierrot
студии;Какая студия сняла первый сезон «Ванпанчмена»;Madhouse;J.C.Staff;MAPPA;Bones;Ufotable;Wit Studio;Pierrot;A-1 Pictures
студии;Какая студия сняла второй сезон «Ванпанчмена»;J.C.Staff;Madhouse;MAPPA;Bones;Ufotable;Wit Studio;Pierrot;Toei Animation
студии;Какая студия сняла «Магическую битву»;MAPPA;Ufotable;Bones;Madhouse;Wit Studio;Pierrot;A-1 Pictures;Toei Animation
студии;Какая студия сняла «Человека-бензопилу»;MAPPA;Ufotable;Bones;Madhouse;Wit Studio;Pierrot;J.C.Staff;Toei Animation
студии;Какая студия сняла «Наруто»;Pierrot;Toei Animation;Bones;Madhouse;MAPPA;Ufotable;Sunrise;J.C.Staff
студии;Какая студия сняла «Блич»;Pierrot;Toei Animation;Bones;Madhouse;MAPPA;Sunrise;Ufotable;A-1 Pictures
студии;Какая студия снимает «Ван-Пис»;Toei Animation;Pierrot;Bones;Madhouse;MAPPA;Sunrise;Ufotable;J.C.Staff
студии;Какая студия сняла «Драконий жемчуг Z»;Toei Animation;Pierrot;Bones;Madhouse;Sunrise;MAPPA;Ufotable;Gainax
студии;Какая студия сняла «Стального алхимика: Братство»;Bones;Madhouse;Pierrot;Toei Animation;MAPPA;Sunrise;Ufotable;J.C.Staff
студии;Какая студия сняла «Мою геройскую академию»;Bones;MAPPA;Pierrot;Madhouse;Ufotable;Toei Animation;Sunrise;A-1 Pictures
студии;Какая студия сняла «Код Гиасс»;Sunrise;Bones;Madhouse;Pierrot;MAPPA;Ufotable;Gainax;Toei Animation
